Unix Time,Price
1664496000000,399045
1664582400000,398813
1664668800000,401586
1664755200000,447535
1664841600000,474031
1664928000000,466205
1665014400000,445244
1665100800000,415444
1665187200000,430656
1665273600000,451447
1665360000000,431448
1665446400000,451317
1665532800000,454636
1665619200000,415626
1665705600000,415234
1665792000000,426578
1665878400000,437288
1665964800000,431703
1666051200000,452319
1666137600000,458152
1666224000000,470527
1666310400000,503180
1666396800000,520099
1666483200000,541860
1666569600000,556589
1666656000000,561830
1666742400000,552527
1666828800000,490718
1666915200000,501349
1667001600000,499333
1667088000000,511029
1667174400000,513761
1667260800000,518554
1667347200000,475505
1667433600000,471037
1667520000000,477657
1667606400000,491265
1667692800000,479568
1667779200000,489929
1667865600000,482546
1667952000000,464018
1668038400000,424255
1668124800000,386598
1668211200000,383991
1668297600000,381563
1668384000000,384875
1668470400000,391216
1668556800000,369865
