Unix Time,Price
1668556800000,7362800
1668560400000,7348000
1668564000000,7431200
1668567600000,7400000
1668571200000,7420000
1668574800000,7290000
1668578400000,7315000
1668582000000,7460000
1668585600000,7426000
1668589200000,7359600
1668592800000,7317200
1668596400000,7353200
1668600000000,7313800
1668603600000,7421600
1668607200000,7406800
1668610800000,8194400
1668614400000,7613600
1668618000000,7544400
1668621600000,7527800
1668625200000,7610000
1668628800000,7755800
1668632400000,7781750
1668636000000,7739500
1668639600000,7702400
