Unix Time,Price
1665100800000,1996000
1665187200000,1895200
1665273600000,1712923
1665360000000,1705846
1665446400000,1814909
1665532800000,1725000
1665619200000,1456087
1665705600000,1354333
1665792000000,1353913
1665878400000,1505731
1665964800000,1605259
1666051200000,1604964
1666137600000,1537750
1666224000000,1507298
1666310400000,1584276
1666396800000,1695967
1666483200000,1682893
1666569600000,1729533
1666656000000,1810722
1666742400000,1843276
1666828800000,1805286
1666915200000,1871724
1667001600000,1813500
1667088000000,1845000
1667174400000,1903690
1667260800000,1934452
1667347200000,1960488
1667433600000,1994160
1667520000000,1987818
1667606400000,1999125
1667692800000,1992857
1667779200000,1997200
1667865600000,2000000
1667952000000,1998462
1668038400000,1984818
1668124800000,1911258
1668211200000,1901970
1668297600000,1816000
1668384000000,1892438
1668470400000,1910419
