Unix Time,Price
1668470400000,1890000
1668474000000,1900000
1668477600000,1882500
1668481200000,1870000
1668484800000,1850000
1668488400000,1900000
1668492000000,1924500
1668495600000,1920000
1668499200000,1895000
1668502800000,1950000
1668506400000,1895000
1668510000000,1918500
1668513600000,1880000
1668517200000,1878000
1668520800000,2000000
1668524400000,1944500
1668528000000,1850000
1668531600000,1980000
1668535200000,1925000
1668538800000,1900000
1668542400000,1931000
1668546000000,1931000
1668549600000,1931000
1668553200000,1931000
