Unix Time,Price
1663804800000,120667
1663891200000,141037
1663977600000,173050
1664064000000,217523
1664150400000,252704
1664236800000,286833
1664323200000,295259
1664409600000,289410
1664496000000,255353
1664582400000,262780
1664668800000,271133
1664755200000,287653
1664841600000,294979
1664928000000,295750
1665014400000,303141
1665100800000,290909
1665187200000,295197
1665273600000,299250
1665360000000,306169
1665446400000,302388
1665532800000,292697
1665619200000,281036
1665705600000,278759
1665792000000,263181
1665878400000,261043
1665964800000,264225
1666051200000,266411
1666137600000,257347
1666224000000,245972
1666310400000,248083
1666396800000,248618
1666483200000,249343
1666569600000,248934
1666656000000,255929
1666742400000,259479
1666828800000,254606
1666915200000,246373
1667001600000,204299
1667088000000,191489
1667174400000,192007
1667260800000,196514
1667347200000,193326
1667433600000,188014
1667520000000,182514
1667606400000,164755
1667692800000,161746
1667779200000,159639
1667865600000,162576
1667952000000,139361
1668038400000,132125
1668124800000,127105
1668211200000,106559
1668297600000,107374
1668384000000,99802
1668470400000,92130
1668556800000,98951
