Unix Time,Price
1668556800000,317000
1668560400000,336000
1668564000000,332500
1668567600000,342000
1668571200000,341000
1668574800000,341500
1668578400000,340000
1668582000000,320000
1668585600000,320000
1668589200000,325000
1668592800000,320000
1668596400000,500000
1668600000000,443000
1668603600000,421000
1668607200000,369000
1668610800000,329000
1668614400000,310000
1668625200000,369000
1668628800000,325000
1668632400000,322000
1668636000000,420000
1668639600000,404000
