Unix Time,Price
1663804800000,0
1663891200000,425000
1663977600000,0
1664064000000,0
1664150400000,400000
1664236800000,419000
1664323200000,420700
1664409600000,425000
1664496000000,426000
1664582400000,0
1664668800000,0
1664755200000,590000
1664841600000,660091
1664928000000,643750
1665014400000,676167
1665100800000,590727
1665187200000,519333
1665273600000,471308
1665360000000,502250
1665446400000,453409
1665532800000,480571
1665619200000,482368
1665705600000,467238
1665792000000,469958
1665878400000,488480
1665964800000,453630
1666051200000,480750
1666137600000,477652
1666224000000,487000
1666310400000,543333
1666396800000,494846
1666483200000,477929
1666569600000,491071
1666656000000,602714
1666742400000,526179
1666828800000,496259
1666915200000,518933
1667001600000,503964
1667088000000,509074
1667174400000,485321
1667260800000,507967
1667347200000,477500
1667433600000,451387
1667520000000,442500
1667606400000,411333
1667692800000,393419
1667779200000,379969
1667865600000,388733
1667952000000,382833
1668038400000,368586
1668124800000,366640
1668211200000,314939
1668297600000,318429
1668384000000,357966
1668470400000,338548
1668556800000,353320
