Unix Time,Price
1668556800000,296800
1668560400000,286400
1668564000000,286200
1668567600000,292400
1668571200000,291600
1668574800000,293000
1668578400000,295600
1668582000000,295000
1668585600000,297750
1668589200000,288250
1668592800000,299250
1668596400000,290000
1668600000000,290800
1668603600000,285600
1668607200000,282800
1668610800000,281000
1668614400000,284400
1668618000000,284800
1668621600000,277600
1668625200000,286800
1668628800000,286000
1668632400000,284000
1668636000000,287500
1668639600000,282600
