Unix Time,Price
1668556800000,535000
1668560400000,535000
1668564000000,570000
1668567600000,535000
1668571200000,565000
1668574800000,535000
1668578400000,560000
1668582000000,555000
1668585600000,559500
1668589200000,560000
1668592800000,556000
1668596400000,523000
1668600000000,520000
1668603600000,547000
1668607200000,550000
1668610800000,1569000
1668618000000,600000
1668625200000,560000
1668628800000,650000
1668632400000,900000
1668636000000,600000
1668639600000,580000
