Unix Time,Price
1663804800000,831833
1663891200000,884664
1663977600000,1133944
1664064000000,1445571
1664150400000,1484302
1664236800000,1512559
1664323200000,1555784
1664409600000,1624081
1664496000000,1540711
1664582400000,1552430
1664668800000,1592407
1664755200000,1668541
1664841600000,1728245
1664928000000,1726209
1665014400000,1654288
1665100800000,1560844
1665187200000,1495692
1665273600000,1454000
1665360000000,1495470
1665446400000,1515846
1665532800000,1478369
1665619200000,1371042
1665705600000,1322188
1665792000000,1323229
1665878400000,1320014
1665964800000,1338624
1666051200000,1386517
1666137600000,1391175
1666224000000,1400399
1666310400000,1410182
1666396800000,1412937
1666483200000,1409847
1666569600000,1425142
1666656000000,1479889
1666742400000,1497979
1666828800000,1509354
1666915200000,1509757
1667001600000,1489076
1667088000000,1474428
1667174400000,1479014
1667260800000,1496063
1667347200000,1476111
1667433600000,1484056
1667520000000,1463091
1667606400000,1328229
1667692800000,1272403
1667779200000,1253639
1667865600000,1270944
1667952000000,1242604
1668038400000,1184660
1668124800000,1184127
1668211200000,1175403
1668297600000,1126132
1668384000000,1046923
1668470400000,1073119
1668556800000,1131979
