Unix Time,Price
1663804800000,22750
1663891200000,24549
1663977600000,26668
1664064000000,29708
1664150400000,33521
1664236800000,48939
1664323200000,53989
1664409600000,55808
1664496000000,56041
1664582400000,67217
1664668800000,82139
1664755200000,93394
1664841600000,102212
1664928000000,101533
1665014400000,99081
1665100800000,90481
1665187200000,63775
1665273600000,56149
1665360000000,55365
1665446400000,54192
1665532800000,49860
1665619200000,46357
1665705600000,45849
1665792000000,42260
1665878400000,44901
1665964800000,46384
1666051200000,50342
1666137600000,49852
1666224000000,52158
1666310400000,58214
1666396800000,55531
1666483200000,54947
1666569600000,55858
1666656000000,56059
1666742400000,54028
1666828800000,51733
1666915200000,50219
1667001600000,47662
1667088000000,46304
1667174400000,46456
1667260800000,46374
1667347200000,46990
1667433600000,47188
1667520000000,46970
1667606400000,46941
1667692800000,50708
1667779200000,50817
1667865600000,49705
1667952000000,45573
1668038400000,44440
1668124800000,43012
1668211200000,41573
1668297600000,44111
1668384000000,53096
1668470400000,55504
1668556800000,60474
