Unix Time,Price
1666742400000,3000000
1666828800000,3000000
1666915200000,2834028
1667001600000,2512770
1667088000000,2445585
1667174400000,2474191
1667260800000,2589159
1667347200000,2526457
1667433600000,2485794
1667520000000,2465657
1667606400000,2279605
1667692800000,2153514
1667779200000,2109421
1667865600000,2122694
1667952000000,2162500
1668038400000,2104735
1668124800000,2182833
1668211200000,2134571
1668297600000,2101516
1668384000000,2035500
1668470400000,1997625
1668556800000,2117250
