Unix Time,Price
1668556800000,2050000
1668560400000,2050000
1668564000000,2040000
1668567600000,1990000
1668571200000,2050000
1668574800000,2050000
1668578400000,2020000
1668582000000,2010000
1668585600000,2000000
1668589200000,2000000
1668592800000,2050000
1668596400000,2046000
1668600000000,2050000
1668603600000,2038000
1668607200000,2048500
1668610800000,2094500
1668614400000,2195000
1668618000000,2150000
1668621600000,2200000
1668625200000,2250000
1668628800000,2279000
1668632400000,2282000
1668636000000,2698000
1668639600000,2441000
