Unix Time,Price
1668556800000,505000
1668560400000,509500
1668564000000,507000
1668567600000,504500
1668571200000,513000
1668574800000,521500
1668578400000,517000
1668582000000,528000
1668585600000,515000
1668589200000,509500
1668592800000,507000
1668596400000,505000
1668600000000,509000
1668603600000,502500
1668607200000,508000
1668610800000,518500
1668614400000,528000
1668618000000,530000
1668621600000,550000
1668625200000,555000
1668628800000,554000
1668636000000,562000
1668639600000,580000
