Unix Time,Price
1663804800000,0
1663891200000,4659643
1663977600000,4990083
1664064000000,5076250
1664150400000,4263949
1664236800000,3429795
1664323200000,3298333
1664409600000,3750625
1664496000000,3956953
1664582400000,3592118
1664668800000,3577943
1664755200000,3575879
1664841600000,3680828
1664928000000,3904234
1665014400000,3846909
1665100800000,3677818
1665187200000,3515010
1665273600000,3353644
1665360000000,3219283
1665446400000,3135580
1665532800000,3142966
1665619200000,3113275
1665705600000,3061630
1665792000000,2979800
1665878400000,2956966
1665964800000,2947210
1666051200000,2956353
1666137600000,2991373
1666224000000,3042756
1666310400000,3033134
1666396800000,3054597
1666483200000,3057992
1666569600000,3126689
1666656000000,3248513
1666742400000,3229916
1666828800000,3226773
1666915200000,3197723
1667001600000,3220420
1667088000000,3219072
1667174400000,3159695
1667260800000,3181630
1667347200000,3159410
1667433600000,3130658
1667520000000,3161130
1667606400000,3034672
1667692800000,2904812
1667779200000,2875559
1667865600000,2839462
1667952000000,2832407
1668038400000,2740282
1668124800000,2684481
1668211200000,2681966
1668297600000,2635780
1668384000000,2583602
1668470400000,2662144
1668556800000,2760311
