Unix Time,Price
1668556800000,2343000
1668560400000,2350800
1668564000000,2355000
1668567600000,2358000
1668571200000,2395200
1668574800000,2354800
1668578400000,2368000
1668582000000,2369200
1668585600000,2355600
1668589200000,2313800
1668592800000,2330800
1668596400000,2330600
1668600000000,2377600
1668603600000,2422500
1668607200000,2419600
1668610800000,2433200
1668614400000,2544600
1668618000000,2459000
1668621600000,2425200
1668625200000,2437400
1668628800000,2422600
1668632400000,2419800
1668636000000,2462000
1668639600000,2443600
