Unix Time,Price
1668556800000,111600
1668560400000,114600
1668564000000,114600
1668567600000,113800
1668571200000,114000
1668574800000,110800
1668578400000,113400
1668582000000,115000
1668585600000,113400
1668589200000,114600
1668592800000,114200
1668596400000,112000
1668600000000,111000
1668603600000,110600
1668607200000,112400
1668610800000,107600
1668614400000,111200
1668618000000,106250
1668621600000,109500
1668625200000,107750
1668628800000,109400
1668632400000,106400
1668636000000,107800
1668639600000,109200
