Unix Time,Price
1663804800000,1980000
1663891200000,2434091
1663977600000,2274270
1664064000000,1873390
1664150400000,1542410
1664236800000,1211282
1664323200000,1313690
1664409600000,1458463
1664496000000,1490163
1664582400000,1340431
1664668800000,1498400
1664755200000,1484810
1664841600000,1536293
1664928000000,1562697
1665014400000,1535778
1665100800000,1413040
1665187200000,1359310
1665273600000,1337069
1665360000000,1391188
1665446400000,1342210
1665532800000,1327308
1665619200000,1261924
1665705600000,1191742
1665792000000,1183034
1665878400000,1162126
1665964800000,1200084
1666051200000,1278534
1666137600000,1271244
1666224000000,1290370
1666310400000,1314669
1666396800000,1283210
1666483200000,1277807
1666569600000,1289412
1666656000000,1338202
1666742400000,1361000
1666828800000,1379220
1666915200000,1335739
1667001600000,1308034
1667088000000,1316236
1667174400000,1290992
1667260800000,1309000
1667347200000,1284034
1667433600000,1288821
1667520000000,1296643
1667606400000,1163259
1667692800000,1125556
1667779200000,1087805
1667865600000,1063812
1667952000000,1074598
1668038400000,1013924
1668124800000,982380
1668211200000,999479
1668297600000,975573
1668384000000,979237
1668470400000,983521
1668556800000,1011246
