Unix Time,Price
1668556800000,968500
1668560400000,985000
1668564000000,1000000
1668567600000,1005750
1668571200000,1009000
1668574800000,1000000
1668578400000,1012000
1668582000000,1024000
1668585600000,1003000
1668589200000,975000
1668592800000,1003000
1668596400000,995600
1668600000000,989600
1668603600000,987400
1668607200000,1008800
1668610800000,1004400
1668614400000,1055600
1668618000000,1051600
1668621600000,1024600
1668625200000,1040800
1668628800000,1033600
1668632400000,1037500
1668636000000,1038500
1668639600000,1023200
