Unix Time,Price
1668556800000,706400
1668560400000,709400
1668564000000,690200
1668567600000,697000
1668571200000,695400
1668574800000,692600
1668578400000,692000
1668582000000,681800
1668585600000,709250
1668589200000,708750
1668592800000,702250
1668596400000,713000
1668600000000,715750
1668603600000,710500
1668607200000,705000
1668610800000,710500
1668614400000,710500
1668618000000,725000
1668621600000,743400
1668625200000,754600
1668628800000,773600
1668632400000,769600
1668636000000,764600
1668639600000,775000
