Unix Time,Price
1668556800000,570000
1668560400000,584000
1668564000000,620000
1668567600000,603500
1668571200000,575000
1668574800000,560000
1668578400000,615000
1668582000000,640000
1668585600000,607000
1668589200000,589000
1668592800000,585000
1668596400000,585000
1668600000000,584000
1668603600000,575000
1668607200000,555000
1668610800000,579000
1668618000000,530000
1668621600000,479000
1668625200000,468000
1668628800000,480000
1668632400000,475000
1668636000000,494000
1668639600000,504000
