Unix Time,Price
1668556800000,369600
1668560400000,336600
1668564000000,320000
1668567600000,326000
1668571200000,330600
1668574800000,335800
1668578400000,337400
1668582000000,340000
1668585600000,340400
1668589200000,340600
1668592800000,340600
1668596400000,337800
1668600000000,333200
1668603600000,331200
1668607200000,327800
1668610800000,325000
1668614400000,318800
1668618000000,317000
1668621600000,324000
1668625200000,333000
1668628800000,325500
1668632400000,332600
1668636000000,323400
1668639600000,328200
