Unix Time,Price
1663804800000,0
1663891200000,550000
1663977600000,0
1664064000000,458000
1664150400000,458000
1664236800000,458000
1664323200000,458000
1664409600000,473333
1664496000000,458000
1664582400000,493000
1664668800000,519048
1664755200000,511591
1664841600000,526000
1664928000000,465750
1665014400000,476364
1665100800000,538909
1665187200000,479545
1665273600000,514571
1665360000000,537091
1665446400000,490136
1665532800000,474000
1665619200000,461136
1665705600000,435476
1665792000000,411792
1665878400000,442960
1665964800000,457962
1666051200000,496731
1666137600000,473423
1666224000000,470667
1666310400000,463107
1666396800000,464667
1666483200000,507857
1666569600000,510429
1666656000000,575552
1666742400000,523107
1666828800000,553909
1666915200000,528600
1667001600000,482714
1667088000000,457000
1667174400000,440500
1667260800000,419033
1667347200000,410452
1667433600000,409129
1667520000000,385290
1667606400000,345400
1667692800000,361333
1667779200000,357438
1667865600000,370333
1667952000000,372667
1668038400000,478655
1668124800000,410040
1668211200000,364788
1668297600000,353793
1668384000000,374276
1668470400000,430103
1668556800000,436308
