Unix Time,Price
1668556800000,1589000
1668560400000,1525000
1668564000000,1500000
1668567600000,1589000
1668571200000,1800000
1668574800000,1650000
1668578400000,1600000
1668582000000,1547000
1668585600000,1400000
1668589200000,1540000
1668592800000,1430000
1668596400000,1420000
1668600000000,1410000
1668603600000,1490000
1668607200000,1410000
1668610800000,1420000
1668618000000,1420000
1668621600000,1400000
1668625200000,1332000
1668628800000,1285000
1668632400000,1269000
1668636000000,1265000
1668639600000,1295000
