Unix Time,Price
1663804800000,2558333
1663891200000,2503585
1663977600000,2236524
1664064000000,1961293
1664150400000,2138718
1664236800000,1333590
1664323200000,1264833
1664409600000,1455780
1664496000000,1389837
1664582400000,1488157
1664668800000,1547750
1664755200000,1683456
1664841600000,1672492
1664928000000,1705720
1665014400000,1755660
1665100800000,1623370
1665187200000,1532170
1665273600000,1438089
1665360000000,1360357
1665446400000,1387992
1665532800000,1346026
1665619200000,1276966
1665705600000,1249571
1665792000000,1261765
1665878400000,1242782
1665964800000,1256153
1666051200000,1258521
1666137600000,1331297
1666224000000,1341915
1666310400000,1359378
1666396800000,1315975
1666483200000,1367277
1666569600000,1395534
1666656000000,1430750
1666742400000,1486782
1666828800000,1438347
1666915200000,1402513
1667001600000,1348378
1667088000000,1351532
1667174400000,1291144
1667260800000,1345496
1667347200000,1312449
1667433600000,1291684
1667520000000,1235365
1667606400000,1131661
1667692800000,1122658
1667779200000,1120754
1667865600000,1146658
1667952000000,1105077
1668038400000,1081627
1668124800000,1072722
1668211200000,1102627
1668297600000,1110598
1668384000000,1120957
1668470400000,1146992
1668556800000,1157261
