Unix Time,Price
1663804800000,612667
1663891200000,631293
1663977600000,493848
1664064000000,640556
1664150400000,649051
1664236800000,562641
1664323200000,582881
1664409600000,593195
1664496000000,571791
1664582400000,579231
1664668800000,633464
1664755200000,681825
1664841600000,701390
1664928000000,725776
1665014400000,702190
1665100800000,685772
1665187200000,650941
1665273600000,618901
1665360000000,644192
1665446400000,652504
1665532800000,639483
1665619200000,622328
1665705600000,600798
1665792000000,620417
1665878400000,614983
1665964800000,627322
1666051200000,651345
1666137600000,656585
1666224000000,664445
1666310400000,675042
1666396800000,653992
1666483200000,651529
1666569600000,658134
1666656000000,687269
1666742400000,704242
1666828800000,704432
1666915200000,711916
1667001600000,711739
1667088000000,690725
1667174400000,703109
1667260800000,709378
1667347200000,697839
1667433600000,695695
1667520000000,688322
1667606400000,596664
1667692800000,553581
1667779200000,549076
1667865600000,543164
1667952000000,527974
1668038400000,503603
1668124800000,492713
1668211200000,442805
1668297600000,444347
1668384000000,433975
1668470400000,433314
1668556800000,474186
