Unix Time,Price
1668556800000,902833
1668560400000,910000
1668564000000,920167
1668567600000,940333
1668571200000,943000
1668574800000,933500
1668578400000,927000
1668582000000,922500
1668585600000,926500
1668589200000,944833
1668592800000,934833
1668596400000,934333
1668600000000,942333
1668603600000,962000
1668607200000,961000
1668610800000,964333
1668614400000,969167
1668618000000,968333
1668621600000,949000
1668625200000,935833
1668628800000,946833
1668632400000,953000
1668636000000,959833
1668639600000,959500
