Unix Time,Price
1668556800000,934500
1668560400000,938750
1668564000000,922667
1668567600000,913333
1668571200000,892500
1668574800000,898500
1668578400000,902750
1668582000000,913500
1668585600000,911333
1668589200000,910750
1668592800000,914000
1668596400000,892500
1668600000000,921000
1668603600000,931500
1668607200000,920000
1668610800000,911667
1668614400000,939000
1668618000000,905667
1668621600000,904000
1668625200000,899500
1668628800000,929000
1668632400000,977000
1668636000000,974333
1668639600000,960000
