Unix Time,Price
1664496000000,704034
1664582400000,606906
1664668800000,598777
1664755200000,641750
1664841600000,707611
1664928000000,698775
1665014400000,666821
1665100800000,613290
1665187200000,618109
1665273600000,538525
1665360000000,546125
1665446400000,547835
1665532800000,545783
1665619200000,508291
1665705600000,496877
1665792000000,511014
1665878400000,538143
1665964800000,529933
1666051200000,566084
1666137600000,589342
1666224000000,586183
1666310400000,584442
1666396800000,587642
1666483200000,580058
1666569600000,590725
1666656000000,595158
1666742400000,608935
1666828800000,624683
1666915200000,644375
1667001600000,690459
1667088000000,739267
1667174400000,792328
1667260800000,831487
1667347200000,827083
1667433600000,821748
1667520000000,782984
1667606400000,750910
1667692800000,711815
1667779200000,732410
1667865600000,753630
1667952000000,714636
1668038400000,668083
1668124800000,658820
1668211200000,663467
1668297600000,668817
1668384000000,653839
1668470400000,655471
1668556800000,657849
