Unix Time,Price
1668556800000,642500
1668560400000,634000
1668564000000,628000
1668567600000,626000
1668571200000,607500
1668574800000,600000
1668578400000,594400
1668582000000,592500
1668585600000,605600
1668589200000,659000
1668592800000,621400
1668596400000,616000
1668600000000,617500
1668603600000,613800
1668607200000,614400
1668610800000,614600
1668614400000,623400
1668618000000,629500
1668621600000,634400
1668625200000,603600
1668628800000,635000
1668632400000,652400
1668636000000,637000
1668639600000,642000
