Unix Time,Price
1668556800000,71250
1668560400000,71000
1668564000000,70500
1668567600000,72000
1668571200000,71667
1668574800000,72500
1668578400000,74000
1668582000000,75000
1668585600000,75000
1668589200000,75000
1668592800000,74000
1668596400000,74000
1668600000000,74000
1668603600000,73000
1668607200000,74500
1668610800000,73250
1668614400000,72000
1668618000000,70000
1668621600000,69000
1668625200000,67500
1668628800000,66000
1668632400000,65000
1668636000000,66250
1668639600000,64500
