Unix Time,Price
1663804800000,0
1663891200000,26526
1663977600000,28603
1664064000000,30650
1664150400000,31865
1664236800000,0
1664323200000,0
1664409600000,0
1664496000000,75458
1664582400000,101092
1664668800000,125000
1664755200000,150435
1664841600000,156838
1664928000000,164250
1665014400000,167300
1665100800000,160207
1665187200000,138042
1665273600000,128270
1665360000000,134903
1665446400000,135328
1665532800000,127756
1665619200000,107878
1665705600000,110520
1665792000000,99378
1665878400000,106076
1665964800000,112141
1666051200000,115883
1666137600000,111838
1666224000000,111694
1666310400000,116952
1666396800000,102763
1666483200000,97805
1666569600000,93611
1666656000000,87787
1666742400000,89875
1666828800000,85663
1666915200000,84103
1667001600000,64098
1667088000000,55495
1667174400000,55422
1667260800000,53491
1667347200000,56233
1667433600000,54492
1667520000000,53174
1667606400000,49213
1667692800000,53373
1667779200000,52837
1667865600000,53961
1667952000000,46051
1668038400000,43698
1668124800000,44030
1668211200000,39026
1668297600000,41199
1668384000000,48494
1668470400000,52640
1668556800000,56902
