Unix Time,Price
1663804800000,4999667
1663891200000,4213667
1663977600000,3799952
1664064000000,3964353
1664150400000,3017615
1664236800000,2690622
1664323200000,2364610
1664409600000,2406535
1664496000000,2474409
1664582400000,2738981
1664668800000,2732589
1664755200000,2921466
1664841600000,2872017
1664928000000,2872013
1665014400000,2836152
1665100800000,2727410
1665187200000,2588851
1665273600000,2432539
1665360000000,2481763
1665446400000,2417076
1665532800000,2488559
1665619200000,2363300
1665705600000,2218529
1665792000000,2202275
1665878400000,2214395
1665964800000,2259822
1666051200000,2336437
1666137600000,2436763
1666224000000,2446597
1666310400000,2445387
1666396800000,2432212
1666483200000,2440059
1666569600000,2455866
1666656000000,2498269
1666742400000,2522521
1666828800000,2535185
1666915200000,2530034
1667001600000,2533353
1667088000000,2506864
1667174400000,2508252
1667260800000,2546151
1667347200000,2540846
1667433600000,2542316
1667520000000,2565739
1667606400000,2444198
1667692800000,2264669
1667779200000,2210922
1667865600000,2185638
1667952000000,2149487
1668038400000,2093466
1668124800000,2045121
1668211200000,2019093
1668297600000,1975839
1668384000000,1880898
1668470400000,1933008
1668556800000,2038042
