Unix Time,Price
1668470400000,4150000
1668474000000,4444000
1668477600000,4441000
1668481200000,4438000
1668484800000,4450000
1668488400000,4512500
1668492000000,4350000
1668495600000,4399000
1668499200000,4399000
1668502800000,4310000
1668506400000,4299000
1668510000000,4299000
1668513600000,4270000
1668517200000,4299000
1668520800000,4195000
1668524400000,4270000
1668528000000,4299000
1668531600000,4299000
1668538800000,4247000
1668542400000,4270000
1668546000000,4299000
1668549600000,4299000
1668553200000,4299000
