Unix Time,Price
1668470400000,3647000
1668474000000,3642400
1668477600000,3622800
1668481200000,3622000
1668484800000,3641000
1668488400000,3617400
1668492000000,3636000
1668495600000,3645200
1668499200000,3660200
1668502800000,3618000
1668506400000,3650800
1668510000000,3627800
1668513600000,3711400
1668517200000,3690400
1668520800000,3631600
1668524400000,4058600
1668528000000,3723400
1668531600000,3679800
1668535200000,3669800
1668538800000,3739000
1668542400000,3747400
1668546000000,3783800
1668549600000,3771750
1668553200000,3746000
