Unix Time,Price
1663804800000,0
1663891200000,0
1663977600000,0
1664064000000,0
1664150400000,0
1664236800000,0
1664323200000,13080909
1664409600000,11830000
1664496000000,12011538
1664582400000,11052381
1664668800000,10319545
1664755200000,8308824
1664841600000,7320750
1664928000000,7572636
1665014400000,7672800
1665100800000,7668091
1665187200000,7512667
1665273600000,6411143
1665360000000,6116250
1665446400000,6793364
1665532800000,6608571
1665619200000,6349714
1665705600000,6588895
1665792000000,6401435
1665878400000,5660000
1665964800000,5546259
1666051200000,5508538
1666137600000,6093423
1666224000000,5949760
1666310400000,5762280
1666396800000,5372966
1666483200000,5625143
1666569600000,5431690
1666656000000,5345964
1666742400000,5518111
1666828800000,5460333
1666915200000,5545700
1667001600000,5769464
1667088000000,5346000
1667174400000,5800769
1667260800000,5524871
1667347200000,5765250
1667433600000,5749548
1667520000000,5623633
1667606400000,5550233
1667692800000,5087633
1667779200000,5137500
1667865600000,5218258
1667952000000,5195586
1668038400000,5438920
1668124800000,5052000
1668211200000,4868412
1668297600000,4588483
1668384000000,4399133
1668470400000,4330067
