Unix Time,Price
1663804800000,0
1663891200000,0
1663977600000,0
1664064000000,0
1664150400000,487000
1664236800000,550000
1664323200000,576800
1664409600000,613800
1664496000000,585000
1664582400000,608833
1664668800000,0
1664755200000,720250
1664841600000,750000
1664928000000,940400
1665014400000,730750
1665100800000,721750
1665187200000,544833
1665273600000,606154
1665360000000,544923
1665446400000,547143
1665532800000,601545
1665619200000,548048
1665705600000,503333
1665792000000,514292
1665878400000,560333
1665964800000,548154
1666051200000,581625
1666137600000,569120
1666224000000,533440
1666310400000,530926
1666396800000,541769
1666483200000,541586
1666569600000,527000
1666656000000,574885
1666742400000,570593
1666828800000,566556
1666915200000,543700
1667001600000,526759
1667088000000,506690
1667174400000,504107
1667260800000,496600
1667347200000,478645
1667433600000,496125
1667520000000,486000
1667606400000,428387
1667692800000,404633
1667779200000,444313
1667865600000,419500
1667952000000,416871
1668038400000,411571
1668124800000,379880
1668211200000,308406
1668297600000,313966
1668384000000,320300
1668470400000,362645
1668556800000,335808
