Unix Time,Price
1668556800000,362000
1668560400000,360833
1668564000000,368800
1668567600000,377400
1668571200000,377200
1668574800000,371200
1668578400000,368800
1668582000000,377200
1668585600000,382400
1668589200000,377500
1668592800000,375200
1668596400000,369400
1668600000000,373200
1668603600000,371167
1668607200000,381000
1668610800000,377667
1668614400000,388500
1668618000000,384400
1668621600000,383400
1668625200000,391800
1668628800000,390800
1668632400000,399600
1668636000000,395600
1668639600000,387500
