Unix Time,Price
1668556800000,825000
1668560400000,827500
1668564000000,849000
1668567600000,845333
1668571200000,860000
1668574800000,848000
1668578400000,850000
1668582000000,856000
1668585600000,840000
1668589200000,866500
1668592800000,861500
1668596400000,874500
1668600000000,867500
1668603600000,870000
1668607200000,865000
1668610800000,859333
1668614400000,869000
1668618000000,878500
1668621600000,864500
1668625200000,859500
1668628800000,861000
1668632400000,887500
1668636000000,881333
1668639600000,878000
