Unix Time,Price
1668556800000,1489800
1668560400000,1500000
1668564000000,1498000
1668567600000,1487000
1668571200000,1484200
1668574800000,1492800
1668578400000,1494000
1668582000000,1494750
1668585600000,1491200
1668589200000,1475800
1668592800000,1474600
1668596400000,1475800
1668600000000,1453000
1668603600000,1384833
1668607200000,1257167
1668610800000,1220667
1668614400000,1196167
1668618000000,1197000
1668621600000,1186167
1668625200000,1219667
1668628800000,1219000
1668632400000,1221000
1668636000000,1207833
1668639600000,1184000
