Unix Time,Price
1665705600000,0
1665792000000,2378429
1665878400000,2139306
1665964800000,1917917
1666051200000,1996974
1666137600000,2027195
1666224000000,2090806
1666310400000,1966205
1666396800000,1938667
1666483200000,1927143
1666569600000,1939912
1666656000000,1989412
1666742400000,2030743
1666828800000,2063500
1666915200000,2100286
1667001600000,2234806
1667088000000,2190257
1667174400000,2134800
1667260800000,2275618
1667347200000,2180949
1667433600000,2240595
1667520000000,2220833
1667606400000,2024895
1667692800000,1956757
1667779200000,1821244
1667865600000,1869846
1667952000000,1772108
1668038400000,1773308
1668124800000,1827474
1668211200000,1898571
1668297600000,1904486
1668384000000,1865314
1668470400000,1868946
1668556800000,1709952
